iter	Passed	Remaining
0	4	428
1	8	392
2	11	379
3	14	354
4	19	361
5	22	359
6	27	361
7	30	355
8	34	349
9	38	344
10	42	341
11	46	338
12	49	334
13	53	330
14	57	326
15	62	326
16	66	324
17	70	322
18	74	319
19	78	314
20	82	311
21	86	308
22	91	305
23	95	302
24	99	298
25	103	293
26	106	288
27	110	283
28	114	280
29	118	276
30	122	272
31	126	267
32	129	263
33	133	259
34	136	252
35	138	246
36	141	240
37	143	233
38	144	226
39	146	219
40	148	213
41	149	205
42	150	199
43	152	193
44	153	187
45	155	181
46	156	176
47	157	171
48	158	165
49	160	160
50	161	154
51	162	149
52	163	145
53	164	140
54	165	135
55	166	130
56	167	126
57	168	122
58	169	117
59	170	113
60	171	109
61	172	105
62	173	101
63	174	97
64	175	94
65	176	90
66	177	87
67	178	83
68	179	80
69	180	77
70	181	74
71	182	71
72	183	67
73	184	64
74	185	61
75	186	59
76	187	56
77	188	53
78	189	50
79	190	47
80	191	45
81	193	42
82	194	39
83	195	37
84	196	34
85	197	32
86	198	29
87	199	27
88	200	24
89	201	22
90	202	19
91	203	17
92	204	15
93	205	13
94	206	10
95	207	8
96	208	6
97	209	4
98	210	2
99	211	0
